Year,Quarter,Premium unleaded petrol (95 RON) (cpl),Regular unleaded petrol (91 RON) (cpl),Automotive diesel (cpl),Automotive LPG (cpl)
2020,Q1,154,139,145,77
2020,Q2,125,110,120,70
2020,Q3,137,123,118,70
2020,Q4,139,123,117,69
2021,Q1,149,134,126,76
2021,Q2,159,143,135,80
2021,Q3,169,153,145,82
2021,Q4,180,164,160,96
2022,Q1,197,182,182,101
2022,Q2,204,189,206,100
2022,Q3,195,180,210,96
2022,Q4,199,184,222,95
2023,Q1,199,183,199,101
2023,Q2,199,184,186,100
2023,Q3,213,197,202,91
2023,Q4,212,196,209,96
2024,Q1,211,195,196,97
2024,Q2,216,198,195,98
2024,Q3,0,0,0,0
2024,Q4,0,0,0,0
